Idade,Anos_Estudo,Salario
56,6,10235.897455950457
46,7,10052.384322752261
32,2,5917.12615628648
60,0,8315.166113166946
25,3,6156.086171066563
38,1,7026.748402271529
56,7,9882.922356527972
36,3,7188.976471612445
40,1,5627.788489090042
28,5,7144.740443098465
28,5,6143.118579543975
41,9,9962.104093826969
53,3,8602.562120291344
57,5,10256.446220244465
41,1,6079.641487863873
20,9,6909.596854236624
39,1,6500.091368169165
19,9,7410.586883209177
41,3,8367.140421504293
61,7,11560.344770865013
47,6,9388.825224254173
55,8,10385.942114706231
19,7,5520.701768492221
38,4,7555.168492482584
50,1,7917.876914738243
29,4,6684.04483100048
39,7,8982.49065566636
61,9,12150.461688795567
42,8,8606.516057410237
44,8,10026.314735753082
59,0,8527.37143299941
45,8,9222.326777641149
33,6,7352.617682797267
32,8,7440.629559197071
64,7,11457.95972934434
61,0,9195.392942794711
20,7,6186.187408360998
54,7,9999.200972875835
24,2,4950.90760073183
38,0,6290.477807710146
26,7,6395.305013383496
56,2,8410.463607315965
35,2,6463.506119685899
21,0,3395.2781386000365
42,4,8912.557807243393
31,9,8293.33177124193
26,6,6266.50638729756
43,9,9401.322922438585
19,8,6338.438660624353
37,6,7755.085825800798
