Idade,Salario
56,8609.596317257503
46,6469.451121825084
32,5905.114096948519
60,8886.559457364709
25,4306.763524717722
38,5480.614879037459
56,8503.05641339052
36,5467.773274811705
40,5611.030348088759
28,4683.441673996466
28,4629.267140912908
41,6453.328639254312
53,7771.857169037121
57,8940.446385974765
41,6769.199470665861
20,3814.185582386791
39,5726.406709926303
19,4374.312863215306
41,6812.766062249122
61,10148.005045636022
47,7271.743020115105
55,8920.885558007038
19,4010.4081500743187
38,6102.961735815407
50,6745.021358891696
29,5340.7512311793225
39,5758.290038320358
61,8563.337297301417
42,6518.231598763251
44,6642.3495448768035
59,7798.466602706743
45,6502.184503931493
33,5925.292200385551
32,5678.88370483667
64,9529.22012960548
61,8906.801031832403
20,4231.142256809531
54,8100.561081293565
24,4295.897455950458
38,6642.384322752262
26,4497.12615628648
56,7835.166113166946
35,6306.086171066563
21,4636.748402271529
42,5752.922356527973
31,5538.976471612445
26,3597.7884890900427
43,7194.740443098465
19,3313.118579543975
37,6332.104093826969
