horasEstudo,aprovacao
0,Desaprovado
3,Desaprovado
2,Desaprovado
6,Aprovado
2,Desaprovado
1,Desaprovado
0,Desaprovado
1,Desaprovado
7,Aprovado
6,Aprovado
5,Desaprovado
6,Aprovado
2,Desaprovado
8,Aprovado
9,Aprovado
1,Desaprovado
1,Desaprovado
4,Desaprovado
1,Desaprovado
2,Desaprovado
4,Desaprovado
6,Aprovado
9,Aprovado
2,Desaprovado
1,Desaprovado
6,Aprovado
8,Aprovado
9,Aprovado
8,Aprovado
8,Aprovado
6,Aprovado
4,Desaprovado
2,Desaprovado
9,Aprovado
2,Desaprovado
1,Desaprovado
7,Aprovado
3,Desaprovado
6,Aprovado
7,Aprovado
6,Aprovado
0,Desaprovado
4,Desaprovado
0,Desaprovado
2,Desaprovado
3,Desaprovado
7,Aprovado
2,Desaprovado
2,Desaprovado
5,Desaprovado
